Vernier Format 2
CANickel1984_50_43_Fine	17:13  Tuesday, March 07, 2023
Latest
Time	Potential
Time	V
min	V

0.000000000	0.610000014
0.050000004	0.593750000
0.100000009	0.628749967
0.150000006	0.608749986
0.200000018	0.606249988
0.250000000	0.583750010
0.300000012	0.616249979
0.350000024	0.601249993
0.400000036	0.622500002
0.450000018	0.611249983
0.500000000	0.591250002
0.550000012	0.583750010
0.600000024	0.601249993
0.650000036	0.583750010
0.700000048	0.582499981
0.750000060	0.591250002
0.800000072	0.599999964
0.850000024	0.612500012
0.900000036	0.623749971
0.950000048	0.598749995
1.000000000	0.606249988
1.050000072	0.599999964
1.100000024	0.591250002
1.150000095	0.606249988
1.200000048	0.597499967
1.250000119	0.608749986
1.300000072	0.594999969
1.350000024	0.607499957
1.400000095	0.634999990
1.450000048	0.632499993
1.500000119	0.618749976
1.550000072	0.598749995
1.600000143	0.611249983
1.650000095	0.612500012
1.700000048	0.608749986
1.750000119	0.613749981
1.800000072	0.620000005
1.850000143	0.597499967
1.900000095	0.642499983
1.950000048	0.626249969
2.000000000	0.648750007
2.050000191	0.649999976
2.100000143	0.672500014
2.150000095	0.688749969
2.200000048	0.681249976
2.250000000	0.653750002
2.300000191	0.694999993
2.350000143	0.718750000
2.400000095	0.733749986
2.450000048	0.737500012
2.500000238	0.766249955
2.550000191	0.802500010
2.600000143	0.797499955
2.650000095	0.829999983
2.700000048	0.851249993
2.750000238	0.868749976
2.800000191	0.894999981
2.850000143	0.896250010
2.900000095	0.902499974
2.950000048	0.922499955
3.000000238	0.921249986
3.050000191	0.899999976
3.100000143	0.899999976
3.150000095	0.861249983
3.200000286	0.906250000
3.250000238	0.886249959
3.300000191	0.854999959
3.350000143	0.836250007
3.400000095	0.824999988
3.450000286	0.783749998
3.500000238	0.786249995
3.550000191	0.753749967
3.600000143	0.737500012
3.650000095	0.704999983
3.700000286	0.718750000
3.750000238	0.697499990
3.800000191	0.681249976
3.850000143	0.656250000
3.900000095	0.631249964
3.950000286	0.642499983
4.000000000	0.644999981
4.050000191	0.636249959
4.100000381	0.628749967
4.150000095	0.616249979
4.200000286	0.613749981
4.250000000	0.610000014
4.300000191	0.628749967
4.350000381	0.615000010
4.400000095	0.622500002
4.450000286	0.602499962
4.500000000	0.611249983
4.550000191	0.618749976
4.600000381	0.616249979
4.650000095	0.606249988
4.700000286	0.587499976
4.750000477	0.611249983
4.800000191	0.599999964
4.850000381	0.611249983
4.900000095	0.589999974
4.950000286	0.579999983
5.000000477	0.607499957
5.050000191	0.596249998
5.100000381	0.571249962
5.150000095	0.586250007
5.200000286	0.593750000
5.250000477	0.601249993
5.300000191	0.613749981
5.350000381	0.597499967
5.400000095	0.591250002
5.450000286	0.581250012
5.500000477	0.574999988
5.550000191	0.593750000
5.600000381	0.597499967
5.650000095	0.577499986
5.700000286	0.578750014
5.750000477	0.594999969
5.800000191	0.606249988
5.850000381	0.583750010
5.900000095	0.562500000
5.950000286	0.583750010
6.000000477	0.588750005
