Vernier Format 2
USCoin_50_43_Fine	16:39  Tuesday, March 07, 2023
Latest
Time	Potential
Time	V
min	V

0.000000000	0.647499979
0.050000004	0.658749998
0.100000009	0.642499983
0.150000006	0.653750002
0.200000018	0.659999967
0.250000000	0.656250000
0.300000012	0.643750012
0.350000024	0.654999971
0.400000036	0.636249959
0.450000018	0.598749995
0.500000000	0.629999995
0.550000012	0.628749967
0.600000024	0.621249974
0.650000036	0.613749981
0.700000048	0.615000010
0.750000060	0.589999974
0.800000072	0.589999974
0.850000024	0.621249974
0.900000036	0.598749995
0.950000048	0.597499967
1.000000000	0.587499976
1.050000072	0.593750000
1.100000024	0.582499981
1.150000095	0.574999988
1.200000048	0.594999969
1.250000119	0.602499962
1.300000072	0.598749995
1.350000024	0.588750005
1.400000095	0.569999993
1.450000048	0.589999974
1.500000119	0.603749990
1.550000072	0.612500012
1.600000143	0.597499967
1.650000095	0.589999974
1.700000048	0.569999993
1.750000119	0.583750010
1.800000072	0.571249962
1.850000143	0.591250002
1.900000095	0.573749959
1.950000048	0.577499986
2.000000000	0.571249962
2.050000191	0.594999969
2.100000143	0.578750014
2.150000095	0.561249971
2.200000048	0.581250012
2.250000000	0.553749979
2.300000191	0.588750005
2.350000143	0.587499976
2.400000095	0.592499971
2.450000048	0.588750005
2.500000238	0.572499990
2.550000191	0.598749995
2.600000143	0.591250002
2.650000095	0.597499967
2.700000048	0.625000000
2.750000238	0.620000005
2.800000191	0.618749976
2.850000143	0.610000014
2.900000095	0.644999981
2.950000048	0.687500000
3.000000238	0.691249967
3.050000191	0.727499962
3.100000143	0.747500002
3.150000095	0.798749983
3.200000286	0.868749976
3.250000238	0.941249967
3.300000191	0.977499962
3.350000143	1.041249990
3.400000095	1.121250033
3.450000286	1.139999986
3.500000238	1.238749981
3.550000191	1.279999971
3.600000143	1.362499952
3.650000095	1.392499924
3.700000286	1.409999967
3.750000238	1.477499962
3.800000191	1.476249933
3.850000143	1.423749924
3.900000095	1.409999967
3.950000286	1.379999995
4.000000000	1.338750005
4.050000191	1.346249938
4.100000381	1.220000029
4.150000095	1.148749948
4.200000286	1.068750024
4.250000000	1.018749952
4.300000191	0.967499971
4.350000381	0.877499998
4.400000095	0.810000002
4.450000286	0.776250005
4.500000000	0.723749995
4.550000191	0.661249995
4.600000381	0.668749988
4.650000095	0.651250005
4.700000286	0.632499993
4.750000477	0.601249993
4.800000191	0.596249998
4.850000381	0.625000000
4.900000095	0.591250002
4.950000286	0.631249964
5.000000477	0.593750000
5.050000191	0.612500012
5.100000381	0.613749981
5.150000095	0.578750014
5.200000286	0.579999983
5.250000477	0.583750010
5.300000191	0.568749964
5.350000381	0.564999998
5.400000095	0.598749995
5.450000286	0.579999983
5.500000477	0.608749986
5.550000191	0.591250002
5.600000381	0.573749959
5.650000095	0.589999974
5.700000286	0.568749964
5.750000477	0.566249967
5.800000191	0.603749990
5.850000381	0.588750005
5.900000095	0.582499981
5.950000286	0.573749959
6.000000477	0.591250002
